session_id,worker_id,device_id,camera_track_id,camera_id,baseline_activity,baseline_confidence,stgcn_activity,stgcn_confidence,vision_timestamp,android_timestamp,backend_receive_time,mobile_backend_receive_time,vision_age_ms,mobile_age_ms,source_time_delta_ms,mobile_missing,mobile_stale,connection_state,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,gps_missing
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,standing,0.75,standing,0.6376208066940308,2026-08-16T13:49:11.128330Z,2026-08-16T13:49:11.135000Z,2026-08-16T13:49:11.080734Z,2026-08-16T13:49:10.365471Z,-47.596,-769.529,-6.67,False,False,connected,0.0713023170828819,0.1081131696701049,9.822885513305664,-0.0173866767436265,-0.0018818912794813,0.0049295560456812,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,standing,0.75,standing,0.6376208066940308,2026-08-16T13:49:11.337509Z,2026-08-16T13:49:11.343000Z,2026-08-16T13:49:11.286822Z,2026-08-16T13:49:10.654539Z,-50.687,-688.461,-5.491,False,False,connected,-0.0962169840931892,0.2959083616733551,9.87376308441162,0.004796324763447,-0.0006994639988988,-0.0026646247133612,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,standing,0.75,standing,0.6376208066940308,2026-08-16T13:49:11.504763Z,2026-08-16T13:49:11.551000Z,2026-08-16T13:49:11.456158Z,2026-08-16T13:49:10.784129Z,-48.605,-766.871,-46.237,False,False,connected,0.0641945302486419,0.1188870817422866,9.821614265441896,0.0040468988008797,-0.0013989279977977,-0.0010825038189068,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,standing,0.75,standing,0.6376208066940308,2026-08-16T13:49:11.645058Z,2026-08-16T13:49:11.660000Z,2026-08-16T13:49:11.594205Z,2026-08-16T13:49:10.888856Z,-50.853,-771.144,-14.942,False,False,connected,0.0442179143428802,0.0641945302486419,9.902941703796388,-0.0033640887122601,0.0012490428052842,0.0008160413126461,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,standing,0.75,standing,0.6376208066940308,2026-08-16T13:49:11.835752Z,2026-08-16T13:49:11.868000Z,2026-08-16T13:49:11.789896Z,2026-08-16T13:49:11.179135Z,-45.856,-688.865,-32.248,False,False,connected,-0.0274585001170635,0.1174655184149742,9.78061294555664,-0.0029144333675503,0.0,0.0013989279977977,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,standing,0.75,standing,0.6376208066940308,2026-08-16T13:49:12.048764Z,2026-08-16T13:49:12.078000Z,2026-08-16T13:49:12.001511Z,2026-08-16T13:49:11.306563Z,-47.253,-771.437,-29.236,False,False,connected,0.0258124861866235,0.0808791294693946,9.808146476745604,0.000166539044585,3.330780964461155e-05,8.326952229253948e-05,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,standing,0.75,standing,0.6376208066940308,2026-08-16T13:49:12.177297Z,2026-08-16T13:49:12.186000Z,2026-08-16T13:49:12.128087Z,2026-08-16T13:49:11.416773Z,-49.21,-769.227,-8.703,False,False,connected,0.0368856713175773,0.1108066439628601,9.794005393981934,0.0007993874605745,-0.000549578864593,0.0001332312385784,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,standing,0.75,standing,0.6376208066940308,2026-08-16T13:49:12.300372Z,2026-08-16T13:49:12.285000Z,2026-08-16T13:49:12.252744Z,2026-08-16T13:49:11.522074Z,-47.628,-762.926,15.372,False,False,connected,-0.003067570971325,0.0680851116776466,10.009932518005373,-0.0005162710440345,-0.0002498085668776,-0.0003996937302872,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,standing,0.75,standing,0.6376208066940308,2026-08-16T13:49:12.457997Z,2026-08-16T13:49:12.396000Z,2026-08-16T13:49:12.409430Z,2026-08-16T13:49:11.702837Z,-48.567,-693.163,61.997,False,False,connected,-0.9378536939620972,-2.2905776500701904,9.645790100097656,-0.4676583111286163,-0.5654833316802979,-0.3352597653865814,False
session-20260816T134838Z-5e3c3f09,worker01,3d0c7f4c-ede9-4241-804c-bcab43cfad1b,1,esp32_cam_01,standing,0.75,standing,0.6376208066940308,2026-08-16T13:49:12.619550Z,2026-08-16T13:49:12.613000Z,2026-08-16T13:49:12.568933Z,2026-08-16T13:49:11.843300Z,-50.617,-769.7,6.55,False,False,connected,-7.6052565574646,-3.638887405395508,1.523909330368042,2.6257545948028564,2.888153553009033,-0.5023650527000427,False
