class,precision,recall,f1,support,tp,fp,fn
walking,0.5932539682539683,0.5783365570599613,0.5857002938295789,517,299,205,218
standing,0.39039039039039036,0.26262626262626265,0.3140096618357488,495,130,203,365
idle,0.35752212389380533,0.6801346801346801,0.468677494199536,297,202,363,95
bending,0.0,0.0,0.0,11,0,22,11
carrying,0.5384615384615384,0.5965909090909091,0.5660377358490566,176,105,90,71
material_handling,0.7204030226700252,0.5306122448979592,0.6111111111111112,539,286,111,253
