timestamp,frame,track_id,raw_activity,smoothed_activity,confidence,velocity,ankle_motion,torso_angle,knee_angle
1786653814.5600986,1,1,unknown,unknown,0.3,0.0,0.0,3.0335744591957625,38.77454000297597
1786653814.8623285,2,1,walking,walking,1.0,0.9152482837560938,0.44496529928419815,11.783555512820064,106.23575954489186
1786653814.9814649,3,1,walking,walking,1.0,0.45940038114144643,0.22468324349096033,14.924550669192428,128.4703501022054
1786653815.0569706,4,1,walking,walking,1.0,0.307488634953038,0.1525688421801277,16.491103828198323,139.59192983059012
1786653815.0910783,5,1,walking,walking,0.9725740693751508,0.23341777665003619,0.11767905319867807,17.400659508540485,146.26846010979642
1786653815.1363592,6,1,walking,walking,0.7799722919507733,0.1871933500681856,0.09469222266413009,18.02403160976451,150.66389665289097
1786653815.1881247,7,1,walking,walking,0.6714399689669254,0.1611455925520621,0.08273845927614444,18.29348213361883,154.6378671684692
1786653815.222314,8,1,walking,walking,0.6,0.1425346345750793,0.0741334109382478,18.604332482465445,156.92963267472845
1786653815.2562482,9,1,walking,walking,0.6,0.12496812785575902,0.06593951721851786,18.867902971400422,158.76384415071476
1786653815.2909591,10,1,walking,walking,0.6,0.11143172820811892,0.05949160723312183,19.09982706062415,160.21698821789155
1786653815.3366537,11,1,standing,walking,0.75,0.01043153386525891,0.010847159064841107,20.887397982010864,173.65523025671877
1786653815.3718684,12,1,standing,walking,0.75,0.010511078471577775,0.01111756780498378,20.94067854502988,173.53487186994758
1786653815.4340794,13,1,standing,walking,0.75,0.010900132301718431,0.010749920500337497,20.89357344537086,173.5017403754783
1786653815.503464,14,1,standing,walking,0.75,0.010532357533858635,0.00999456837700759,20.78987966832402,173.47772712441028
1786653815.5563266,15,1,idle,standing,0.85,0.010839012611287377,0.011016303918021098,20.73978885017538,173.46897400050275
1786653815.6006627,16,1,idle,standing,0.85,0.008896485471523734,0.009553689089214381,20.646316193901427,173.53333315854286
1786653815.6331427,17,1,idle,standing,0.85,0.005896706737300481,0.008134045563923584,20.72183018405982,173.00676381777492
1786653815.6766756,18,1,idle,standing,0.85,0.00583213958916851,0.008104670291709101,20.723972120400866,173.0200224781716
1786653815.7141051,19,1,idle,idle,0.85,0.005765564995410484,0.008207947540154144,20.65383123864452,172.99601841740028
1786653815.7489283,20,1,idle,idle,0.85,0.005528572094055487,0.008288091375108574,20.57017429376679,172.97270187163252
1786653815.7890542,21,1,idle,idle,0.85,0.005412480915955248,0.00817846312005676,20.510241066108467,172.9837329583965
1786653815.8263612,22,1,idle,idle,0.85,0.006510071027026092,0.00833797958301867,20.290299384746113,173.14761868386813
1786653815.8710277,23,1,idle,idle,0.85,0.011193978615411968,0.008655949869758388,19.694184685618026,173.38638628373226
1786653815.909709,24,1,standing,idle,0.75,0.015147680827102154,0.007998665846977246,18.863384826517397,173.79070987260394
1786653815.9425411,25,1,standing,idle,0.75,0.018833818442660747,0.009235615994574453,17.788268494211714,174.2425571411207
1786653816.0020955,26,1,standing,idle,0.75,0.022220513779347317,0.013673806396195011,16.72434256428673,174.49352866437886
1786653816.0380483,27,1,standing,idle,0.75,0.02536318621039627,0.023428534891793303,15.644133870449636,174.3174622092933
1786653816.0959058,28,1,standing,standing,0.75,0.032192688873840226,0.03175243663252856,14.63632044854479,173.44425880914713
1786653816.1303816,29,1,standing,standing,0.75,0.038034657825852386,0.04405657485560497,13.544574719208251,171.35217831374547
1786653816.2242498,30,1,standing,standing,0.75,0.04120274454085229,0.056129933491201385,12.08916460854119,168.9766021324616
1786653816.2658281,31,1,walking,standing,0.6,0.04955579934671265,0.07300490381304116,10.6514966050713,167.4141732413514
1786653816.3040686,32,1,walking,standing,0.6,0.05729711063386775,0.08121948451264975,9.46873918232533,167.35422628683756
1786653816.345966,33,1,walking,standing,0.6,0.06533572701932783,0.08754386659891505,8.947034682520243,167.1475278326602
1786653816.3932343,34,1,walking,standing,0.6,0.07150892684074128,0.09572704978264898,8.660113589751475,166.06312458184505
1786653816.4660969,35,1,walking,walking,0.6,0.07644192713861547,0.09834418382024158,8.541555003505376,165.22377905208347
1786653816.5082133,36,1,walking,walking,0.6,0.08048982078076551,0.1011328662565534,8.333686147433546,164.02222366563134
1786653816.55924,37,1,walking,walking,0.6,0.07373777840498841,0.09294585092138506,8.069793892842307,163.1798674018449
1786653816.6218445,38,1,walking,walking,0.6077573631665062,0.08468059726812581,0.10939632536997111,7.884797072091092,161.63006620399997
1786653816.6606963,39,1,walking,walking,0.6,0.08176948110706606,0.09744174485006933,7.7807800200127275,161.2858570025402
1786653816.7066526,40,1,walking,walking,0.6,0.07825613159854566,0.09462716344476839,7.4886953058498715,161.47886781522942
1786653816.7451077,41,1,walking,walking,0.6,0.08911947927018654,0.10713484274657177,7.367514541035462,163.21784073791542
1786653816.7867513,42,1,walking,walking,0.619721919098392,0.09291215101659958,0.11154994543771056,7.1906330708234565,163.37819601578298
1786653816.8502922,43,1,walking,walking,0.6,0.08179993635877726,0.1017274468874883,6.7530172560813355,163.59857975064705
1786653816.8843677,44,1,walking,walking,0.6,0.08300960707025842,0.09947653198163128,6.582620642991662,164.41331008905277
1786653816.9424138,45,1,walking,walking,0.6234555414468576,0.09666544185340199,0.11222199746043435,6.661971810362644,163.5083312194698
1786653817.0342739,46,1,walking,walking,0.7339037655364485,0.1108168404847837,0.13210267779656074,6.991422642046362,162.94616973995724
1786653817.068972,47,1,walking,walking,0.6,0.0939683179336559,0.10305409512714515,7.356529379330835,162.38070647404166
1786653817.1022716,48,1,walking,walking,0.7235648967681373,0.1093935092179326,0.13024168141826473,7.77381507108429,163.91326202425338
1786653817.1503932,49,1,walking,walking,0.6468861190904909,0.11268238354619561,0.11643950143628835,8.212317408977551,166.25997992733525
1786653817.203815,50,1,walking,walking,0.6,0.0973521608652676,0.09960197348781527,9.13956959436988,168.26654309632588
1786653817.275095,51,1,walking,walking,0.6,0.0812954823027408,0.08870936948903681,9.879570402091666,167.97182574705997
1786653817.31158,52,1,walking,walking,0.6,0.09699382136052853,0.10494174661454264,10.406115750693301,167.24937215830116
1786653817.347212,53,1,walking,walking,0.6,0.09173059673636769,0.10555607868852523,10.547492222723246,166.3400508751558
1786653817.4244075,54,1,walking,walking,0.6,0.07496501401601269,0.08428077205820879,10.34205894199972,165.34292216929035
1786653817.4700513,55,1,walking,walking,0.6,0.06335492107722543,0.07060027652788271,9.721508808844016,165.95869476652254
1786653817.5038333,56,1,walking,walking,0.6,0.06628603176696501,0.0746266843467314,8.917371265012488,167.27721540159797
1786653817.5356388,57,1,standing,walking,0.75,0.0549831425587037,0.04942901404009823,7.893728948222643,168.87586681286777
1786653817.567169,58,1,standing,walking,0.75,0.04560169624980918,0.049031053515499606,6.6464486422952715,169.86535452947533
1786653817.5985432,59,1,walking,walking,0.6,0.0489145065372328,0.06074482823614327,5.421023053075684,169.48320785540122
1786653817.6690512,60,1,walking,walking,0.6,0.054699225604732726,0.07345831771106037,4.235347620651761,168.81573829245178
1786653817.7229664,61,1,walking,walking,0.6,0.04302072924395765,0.06735971440181553,3.023200441566302,168.066400047125
