timestamp,frame,video_time_sec,track_id,raw_activity,smoothed_activity,semantic_activity,material_handling,material_confidence,confidence,velocity,ankle_motion,wrist_motion,wrist_hip_distance,torso_angle,knee_angle,mh_bending_ratio,mh_walking_ratio,mh_active_ratio,mh_wrist_motion,mh_pickup,mh_stationary,mh_standing_idle_ratio,mh_wrist_hip_distance
1786902910.1916285,1,0.0,1,unknown,unknown,unknown,0,0.0,0.3,0.0,0.0,0.0,1.0115691569028973,3.152937007775314,40.508997729141804,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786902910.2450936,2,0.04,1,carrying,carrying,carrying,0,0.0,0.7701341154293169,0.9247788050910684,0.47550665790164315,0.0,0.7835568590488615,11.965241984888275,107.15903898744997,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786902910.2788005,3,0.08,1,carrying,carrying,carrying,0,0.0,0.7303906293865069,0.46404565855338986,0.24304210917064925,0.032691398680294,0.7173177156441782,15.036081453086254,129.06496085729637,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786902910.4669504,4,0.12,1,carrying,carrying,carrying,0,0.0,0.7142977742783304,0.31088951625180405,0.16501025789230275,0.029311620305813663,0.690496290463884,16.661363834756898,139.98341019635086,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786902910.496413,5,0.16,1,carrying,carrying,carrying,0,0.0,0.7035259347492226,0.23355027080732413,0.1256616154264208,0.02573055475213748,0.6725432245820377,17.526290873480427,146.5612397752707,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786902910.5912497,6,0.2,1,carrying,carrying,carrying,0,0.0,0.6984166850064224,0.18788282782339372,0.10194033691002265,0.025149473191958982,0.6640278083440373,18.12318583896758,150.86323397874767,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786902910.6411607,7,0.24,1,carrying,carrying,carrying,0,0.0,0.6950866841875537,0.15747189515548848,0.0857277160731622,0.02226467204430329,0.6584778069792563,18.600852117056665,153.98549346571025,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786902910.67174,8,0.28,1,carrying,carrying,carrying,0,0.0,0.6916730269106949,0.13536268769582402,0.0745595657914536,0.022259733298060635,0.6527883781844914,18.887476057113478,156.29400312849435,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786902910.7022967,9,0.32,1,carrying,carrying,carrying,0,0.0,0.6900983444181523,0.1187864119157597,0.06650889494648689,0.021718663814230453,0.6501639073635873,19.13677644358393,158.18337282469759,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786902910.759483,10,0.36,1,carrying,carrying,carrying,0,0.0,0.6882197602216081,0.10588902574277051,0.06037606860917948,0.020348376029946873,0.6470329337026802,19.338097207198576,159.69555450825922,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786902910.7907932,11,0.4,1,standing,carrying,carrying,0,0.0,0.75,0.0039539003511417144,0.008144212441992607,0.020596057996688184,0.6069070249182061,21.11420344209231,172.97451637503562,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786902910.823072,12,0.44,1,standing,carrying,carrying,0,0.0,0.75,0.004317870286755118,0.007683341123457871,0.019507148510273808,0.6139996026389809,21.147372852522714,172.8204227576221,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786902910.8745637,13,0.48,1,standing,carrying,carrying,0,0.0,0.75,0.0041271730774164505,0.006956132316177523,0.019474006337847932,0.6159985025611989,21.1236391271377,172.78972463236684,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786902910.923313,14,0.52,1,standing,carrying,carrying,0,0.0,0.75,0.004570801241724211,0.006906317114478442,0.019120337305896087,0.6164675261214378,21.034119060724542,172.7894427971413,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786902910.9632363,15,0.56,1,idle,standing,standing,0,0.0,0.85,0.004656151435714749,0.0069476962669065105,0.018600088429693355,0.6175721956075061,20.99248559518734,172.80053050953012,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786902911.0176923,16,0.6,1,idle,standing,standing,0,0.0,0.85,0.004968555316050195,0.007300053230174176,0.018049043111003315,0.616228794194767,20.925020281241732,172.86790323302012,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786902911.0469642,17,0.64,1,idle,standing,standing,0,0.0,0.85,0.004915029149393179,0.00729017473335728,0.017180898747506966,0.6127855817335913,20.8812492779793,172.86357873435992,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786902911.0769677,18,0.68,1,idle,standing,standing,0,0.0,0.85,0.005031276034685338,0.007803445953062143,0.01751606149076961,0.6126060883360129,20.890304900514604,172.87932847700483,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786902911.1282983,19,0.72,1,idle,idle,idle,0,0.0,0.85,0.005449038595697729,0.007794660183002376,0.018211192302563576,0.6127978598061479,20.865191914828358,172.851080364447,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786902911.1669402,20,0.76,1,idle,idle,idle,0,0.0,0.85,0.005274449209376025,0.008344672000082059,0.020404787586616402,0.6099069660629178,20.799850570056133,172.83813470931491,0.0,0.0,0.45,0.019406705696780234,0,0,0.5,0.664162211159834
1786902911.2844882,21,0.8,1,idle,idle,idle,0,0.0,0.85,0.005256550703853768,0.008318862816397874,0.019623397257766694,0.6085116777388996,20.677498461519725,172.89222587930672,0.0,0.0,0.42857142857142855,0.019417024342541493,0,0,0.5238095238095238,0.6615121857588371
1786902911.3840473,22,0.84,1,idle,idle,idle,0,0.0,0.85,0.00710515238632784,0.008464364885314456,0.024196098267357316,0.5982707286789133,20.469670592231015,173.07802279047684,0.0,0.0,0.4090909090909091,0.019634254975487667,0,0,0.5454545454545454,0.658637574073386
1786902911.4153976,23,0.88,1,idle,idle,idle,0,0.0,0.85,0.011178893254581357,0.008375304514492234,0.03291541983800329,0.5833510225953253,19.813596768300226,173.400974828889,0.0,0.0,0.391304347826087,0.020211696926031822,0,0,0.5652173913043478,0.6553642457482529
1786902911.4728942,24,0.92,1,standing,idle,idle,0,0.0,0.75,0.015349109643166476,0.009577855463250875,0.034689348739553844,0.5798653306030961,18.947627602005845,173.7718951844529,0.0,0.0,0.375,0.020814932418261906,0,0,0.5833333333333334,0.6522184576172046
1786902911.5343502,25,0.96,1,standing,idle,idle,0,0.0,0.75,0.01906264027637621,0.011124247509544584,0.03882124719013723,0.5690960896902506,17.837875514679116,174.14246407554828,0.0,0.0,0.36,0.02153518500913692,0,0,0.6,0.6488935629001266
1786902911.56461,26,1.0,1,standing,idle,idle,0,0.0,0.75,0.02264510437904102,0.015440157259528412,0.04769747773876117,0.5549099492286905,16.768533950485327,174.34001367309605,0.0,0.0,0.34615384615384615,0.022541427037199392,0,0,0.6153846153846154,0.6452788085281482
1786902911.6060004,27,1.04,1,standing,idle,idle,0,0.0,0.75,0.025902061090028808,0.02393575438219896,0.04938766293361741,0.5448228896517955,15.63081666027264,174.1638921844764,0.0,0.0,0.3333333333333333,0.023535732070400057,0,0,0.6296296296296297,0.6415582189401351
1786902911.6625807,28,1.08,1,standing,standing,standing,0,0.0,0.75,0.03167601002366107,0.03246742242160447,0.06556958619243569,0.5484226449706396,14.614221758446613,173.444090015678,0.0,0.0,0.32142857142857145,0.025036941146187045,0,0,0.6428571428571429,0.6382319484412246
1786902911.693444,29,1.12,1,standing,standing,standing,0,0.0,0.75,0.03802324304040403,0.04564001159656818,0.06617439277976046,0.5561286675654779,13.525626791614519,171.37299417975717,0.0,0.0,0.3103448275862069,0.026455473961137854,0,0,0.6551724137931034,0.6354008008248195
1786902911.7285483,30,1.16,1,standing,standing,standing,0,0.0,0.75,0.04076343090142329,0.0588304855125614,0.06693017416063367,0.5647080914804422,12.061520885628742,168.97475542218348,0.0,0.0,0.3,0.027804630634454378,0,0,0.6666666666666666,0.6330443771800068
1786902911.790159,31,1.2,1,walking,standing,standing,0,0.0,0.6,0.04961801448293335,0.0741830295833111,0.07346774924322899,0.5674712943266845,10.714322102581194,167.24916307608763,0.0,0.03225806451612903,0.3225806451612903,0.02927763446054388,0,0,0.6451612903225806,0.6309291164428029
1786902911.8445334,32,1.24,1,carrying,standing,standing,0,0.0,0.6300611594491968,0.0577833978479043,0.08375016750052909,0.0824971411076934,0.5501019324153281,9.550612079331723,167.17493351791015,0.0,0.03125,0.34375,0.03094074404326731,0,0,0.625,0.6284032669419444
1786902911.8760211,33,1.28,1,carrying,standing,standing,0,0.0,0.6245033790783955,0.06571103143047233,0.08936163665007084,0.09691949183515693,0.5408389651306592,9.047471789167902,166.86682828383306,0.0,0.030303030303030304,0.36363636363636365,0.032940100036960934,0,0,0.6060606060606061,0.6257498032506934
1786902911.927176,34,1.32,1,carrying,standing,standing,0,0.0,0.6268497668927959,0.07153186489080518,0.09651753357010974,0.09978819303583425,0.5447496114879932,8.748605476689299,165.95646204128983,0.0,0.030303030303030304,0.3939393939393939,0.035963984674410455,0,0,0.6060606060606061,0.6116037564199387
1786902911.9590049,35,1.36,1,carrying,standing,standing,0,0.0,0.6198589436240383,0.07666404869107168,0.10138546926443678,0.1111489509660074,0.5330982393733972,8.691241660449855,165.07573065915906,0.0,0.030303030303030304,0.3939393939393939,0.0393321347036834,0,0,0.6060606060606061,0.604014101278258
1786902911.9935553,36,1.4,1,carrying,carrying,carrying,0,0.0,0.611558773441704,0.08050924824634778,0.10433590393611375,0.12540946372873346,0.51926462240284,8.452870690871704,163.8986870510375,0.0,0.030303030303030304,0.3939393939393939,0.042141773038484605,0,0,0.6060606060606061,0.5980124923921567
1786902912.0741284,37,1.44,1,carrying,carrying,carrying,0,0.0,0.6124916233961171,0.08486647244622375,0.10521751259060465,0.145045978524593,0.5208193723268618,8.487162767137194,162.0939901107833,0.0,0.030303030303030304,0.3939393939393939,0.04564887480269004,0,0,0.6060606060606061,0.5928707676001258
1786902912.1070437,38,1.48,1,carrying,carrying,carrying,0,0.0,0.605718560679405,0.08600299477574598,0.1163566477243337,0.15730888966403483,0.5095309344656751,8.305344631336297,160.46379642918492,0.0,0.030303030303030304,0.3939393939393939,0.049636097072747534,0,0,0.6060606060606061,0.5879310012329634
1786902912.1391375,39,1.52,1,walking,carrying,material_handling,1,1.0,0.6527614561228943,0.08921718263947573,0.11749706210212096,0.16396921640047396,0.4895584350019307,7.609180145027065,160.3334725494692,0.0,0.06060606060606061,0.3939393939393939,0.053842755957854045,0,1,0.6060606060606061,0.5826440505256267
1786902912.188051,40,1.56,1,walking,carrying,material_handling,1,1.0,0.6574751610536774,0.09163523028397608,0.11834552898966194,0.16408118969698673,0.4812879247282493,7.272427704220128,162.03083114778877,0.0,0.09090909090909091,0.3939393939393939,0.05814022618975354,0,1,0.6060606060606061,0.5772746601543841
1786902912.2388656,41,1.6,1,walking,carrying,material_handling,1,1.0,0.6592314277184127,0.09103462324241642,0.11866165698931429,0.16681979762311464,0.4635406807557645,7.1696956178074185,163.88366621897472,0.0,0.12121212121212122,0.3939393939393939,0.06252083419960366,0,1,0.6060606060606061,0.5715398814444226
