timestamp,frame,video_time_sec,track_id,raw_activity,smoothed_activity,semantic_activity,material_handling,material_confidence,confidence,velocity,ankle_motion,wrist_motion,wrist_hip_distance,torso_angle,knee_angle,mh_bending_ratio,mh_walking_ratio,mh_active_ratio,mh_wrist_motion,mh_pickup,mh_stationary,mh_standing_idle_ratio,mh_wrist_hip_distance
1786840329.2940927,2,0.04,1,standing,standing,standing,0,0.0,0.75,0.0,0.0,0.0,0.4837367498640033,8.432116427765727,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786840329.5040636,3,0.08,1,standing,standing,standing,0,0.0,0.75,0.017736185764368487,0.0,0.03760318586733316,0.4910599445518907,8.817678579062198,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786840329.9314477,4,0.12,1,standing,standing,standing,0,0.0,0.75,0.01631867671172275,0.0,0.03659114654301388,0.4945486693192389,9.013199842817633,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786840330.1395755,5,0.16,1,standing,standing,standing,0,0.0,0.75,0.02095810476156317,0.0,0.029827691284661076,0.5009919080333991,8.850963119958843,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786840330.4303198,6,0.2,1,standing,standing,standing,0,0.0,0.75,0.02008855002257367,0.0,0.028247072440558983,0.5033694473324892,8.840921409618579,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786840330.7879055,7,0.24,1,standing,standing,standing,0,0.0,0.75,0.018906722573934907,0.0,0.030289112757633813,0.4989781178125527,8.666164198436748,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786840330.8278818,8,0.28,1,standing,standing,standing,0,0.0,0.75,0.018832211814337727,0.0,0.03105976321040778,0.4987061910034845,8.560611256968993,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786840330.8618407,9,0.32,1,standing,standing,standing,0,0.0,0.75,0.0213710173794786,0.0,0.03185007375047821,0.49792141671826584,8.902402430274794,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786840330.9284828,10,0.36,1,standing,standing,standing,0,0.0,0.75,0.020138434743018064,0.0,0.030383772473664285,0.4983527152151263,9.030944750825498,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786840331.075332,11,0.4,1,standing,standing,standing,0,0.0,0.75,0.0196656966557935,0.0,0.029786662325106548,0.4984974970932883,9.010569134675563,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786840331.108317,12,0.44,1,standing,standing,standing,0,0.0,0.75,0.018419569536715,0.0,0.02849106801463109,0.4992882435267779,9.181266611517845,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786840331.1838107,13,0.48,1,standing,standing,standing,0,0.0,0.75,0.019412016982746694,0.0,0.028218837983920362,0.5004527987903954,9.117186282121832,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786840331.280305,14,0.52,1,standing,standing,standing,0,0.0,0.75,0.021092222098078026,0.0,0.03085396564103275,0.5005590973198828,9.22970047646265,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786840331.3521798,15,0.56,1,standing,standing,standing,0,0.0,0.75,0.02414041438191566,0.0,0.032609809694758726,0.4965512552345076,9.204272920176713,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786840331.5479815,16,0.6,1,standing,standing,standing,0,0.0,0.75,0.02397630056724485,0.0,0.034243149044483376,0.4969031681561519,8.963002477814303,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786840331.6079261,17,0.64,1,standing,standing,standing,0,0.0,0.75,0.0224996005099264,0.0,0.03282474432182004,0.49922080262111435,8.921518074252731,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786840331.7424629,18,0.68,1,standing,standing,standing,0,0.0,0.75,0.02051424402608437,0.0,0.03122004499309717,0.497214288318873,8.8536146911447,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786840331.947762,19,0.72,1,standing,standing,standing,0,0.0,0.75,0.02082601132941348,0.0,0.03194438114062678,0.4988566596373434,8.508571318954072,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786840332.0664625,20,0.76,1,standing,standing,standing,0,0.0,0.75,0.01944780181142888,0.0,0.03378449187919519,0.49681595743368606,8.358981332449702,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1786840332.2108977,21,0.8,1,standing,standing,standing,0,0.0,0.75,0.019150769869217255,0.0,0.035255059140708304,0.4938738774374488,8.308756764042595,,0.0,0.0,0.0,0.030254201625356573,0,0,1.0,0.497294940270996
1786840332.3313298,22,0.84,1,standing,standing,standing,0,0.0,0.75,0.018948981789204584,0.0,0.03721487341430269,0.49565346933312987,8.044794722715647,,0.0,0.0,0.0,0.030585662186734964,0,0,1.0,0.49721677498824046
1786840332.3982406,23,0.88,1,standing,standing,standing,0,0.0,0.75,0.018270951333181604,0.0,0.033824068918314736,0.4964012291370783,8.153297077802184,,0.0,0.0,0.0,0.03073286249271586,0,0,1.0,0.49717970472227857
1786840332.4803472,24,0.92,1,idle,standing,standing,0,0.0,0.85,0.01397534018523269,0.0,0.03209898419539695,0.4971025075808487,8.11833183301027,,0.0,0.0,0.0,0.0307922590884846,0,0,1.0,0.49717634832482505
1786840332.6102536,25,0.96,1,idle,standing,standing,0,0.0,0.85,0.013257464777900237,0.0,0.028921277254856048,0.5003990696574943,8.322321878936666,,0.0,0.0,0.0,0.030714301512083413,0,0,1.0,0.49731062838035295
1786840332.723092,26,1.0,1,standing,standing,standing,0,0.0,0.75,0.016956652652902884,0.0,0.030387893431295387,0.4966243399243435,8.450934603721702,,0.0,0.0,0.0,0.030701245188851888,0,0,1.0,0.49728317684211254
1786840332.9869623,27,1.04,1,standing,standing,standing,0,0.0,0.75,0.018422957004965664,0.0,0.030062577603982583,0.49595954680636956,8.680233009522986,,0.0,0.0,0.0,0.0306766810509723,0,0,1.0,0.497232267994584
1786840333.3554435,28,1.08,1,standing,standing,standing,0,0.0,0.75,0.02060974169649503,0.0,0.029705952819527964,0.497061241654669,8.601656636048899,,0.0,0.0,0.0,0.030640728153511397,0,0,1.0,0.49722593368569823
1786840333.654546,29,1.12,1,standing,standing,standing,0,0.0,0.75,0.025834907305944524,0.0,0.02872332424107184,0.4987773519943632,8.804170238238296,,0.0,0.0,0.0,0.03057224944235284,0,0,1.0,0.49728134148243625
1786840333.9141235,30,1.16,1,standing,standing,standing,0,0.0,0.75,0.030138397942228747,0.0,0.03333188287345203,0.4927700906196071,8.762714743652245,,0.0,0.0,0.0,0.03066740921583902,0,0,1.0,0.4971257811078559
1786840334.432083,31,1.2,1,standing,standing,standing,0,0.0,0.75,0.032220233454683896,0.0,0.04127984915733304,0.4981324955521992,8.269211823453059,,0.0,0.0,0.0,0.03102115721388882,0,0,1.0,0.49715933825600067
1786840334.705947,32,1.24,1,standing,standing,standing,0,0.0,0.75,0.028035057108963313,0.0,0.04806323800861703,0.4945839511922194,7.966446056230699,,0.0,0.0,0.0,0.031570901755654246,0,0,1.0,0.49707626125394316
1786840334.9565716,33,1.28,1,standing,standing,standing,0,0.0,0.75,0.0312113758524154,0.0,0.04993752573404596,0.49173645020865625,7.7714250949061725,,0.0,0.0,0.0,0.032144858754978994,0,0,1.0,0.4969093921587781
1786840335.3734868,34,1.32,1,standing,standing,standing,0,0.0,0.75,0.03338824601556572,0.0,0.051127541693798774,0.49244727214551726,7.413349185815042,,0.0,0.0,0.0,0.03272009157130687,0,0,1.0,0.4967741764008005
1786840335.6725936,35,1.36,1,standing,standing,standing,0,0.0,0.75,0.03206722972288822,0.0,0.05001511326604692,0.4921987197056823,6.776672474954114,,0.0,0.0,0.0,0.03423570106421738,0,0,1.0,0.4970305997293362
1786840335.9320033,36,1.4,1,standing,standing,standing,0,0.0,0.75,0.030529409040005093,0.0,0.0633584635649291,0.49530123544360727,6.507840277452283,,0.0,0.0,0.0,0.03501616402475059,0,0,1.0,0.49715912369575177
1786840336.5017047,37,1.44,1,standing,standing,standing,0,0.0,0.75,0.04055044317121012,0.0,0.06717689311941487,0.4880741383208204,5.855775279759078,,0.0,0.0,0.0,0.03594300483009607,0,0,1.0,0.4969629257867088
