backend,ppe_item,activity,evaluated_frames,positive_gt_frames,negative_gt_frames,tp,tn,fp,fn,false_negative_rate,false_positive_rate,recall,specificity
NCNN,helmet,Material handling,385,385,0,317,0,0,68,0.17662337662337663,0.0,0.8233766233766234,0.0
NCNN,helmet,Mixed natural sequence,143,143,0,82,0,0,61,0.42657342657342656,0.0,0.5734265734265734,0.0
NCNN,helmet,Standing,495,352,143,345,141,2,7,0.019886363636363636,0.013986013986013986,0.9801136363636364,0.986013986013986
NCNN,helmet,Standing / Walking,286,99,187,52,181,6,47,0.47474747474747475,0.03208556149732621,0.5252525252525253,0.9679144385026738
NCNN,helmet,Standing / material handling,165,165,0,165,0,0,0,0.0,0.0,1.0,0.0
NCNN,helmet,Walking,517,385,132,372,132,0,13,0.033766233766233764,0.0,0.9662337662337662,1.0
NCNN,helmet,Walking / Standing / Walking,187,0,187,0,187,0,0,0.0,0.0,0.0,1.0
NCNN,helmet,Walking / standing,110,0,110,0,106,4,0,0.0,0.03636363636363636,0.0,0.9636363636363636
NCNN,vest,Bending,11,11,0,11,0,0,0,0.0,0.0,1.0,0.0
NCNN,vest,Bending - Short walk,209,209,0,194,0,0,15,0.07177033492822966,0.0,0.9282296650717703,0.0
NCNN,vest,Bending / Carrying,154,0,154,0,139,15,0,0.0,0.09740259740259741,0.0,0.9025974025974026
NCNN,vest,Carrying,176,176,0,176,0,0,0,0.0,0.0,1.0,0.0
NCNN,vest,Idle,297,165,132,165,128,4,0,0.0,0.030303030303030304,1.0,0.9696969696969697
NCNN,vest,Material handling,385,385,0,362,0,0,23,0.05974025974025974,0.0,0.9402597402597402,0.0
NCNN,vest,Mixed natural sequence,143,0,143,0,121,22,0,0.0,0.15384615384615385,0.0,0.8461538461538461
NCNN,vest,Standing,495,440,55,440,55,0,0,0.0,0.0,1.0,1.0
NCNN,vest,Standing / Walking,286,0,286,0,254,32,0,0.0,0.11188811188811189,0.0,0.8881118881118881
NCNN,vest,Standing / material handling,165,165,0,165,0,0,0,0.0,0.0,1.0,0.0
NCNN,vest,Walking,517,385,132,378,132,0,7,0.01818181818181818,0.0,0.9818181818181818,1.0
NCNN,vest,Walking / Standing / Walking,187,0,187,0,185,2,0,0.0,0.0106951871657754,0.0,0.9893048128342246
NCNN,vest,Walking / standing,110,110,0,110,0,0,0,0.0,0.0,1.0,0.0
NCNN,gloves,Bending,11,11,0,0,0,0,11,1.0,0.0,0.0,0.0
NCNN,gloves,Bending - Short walk,209,209,0,15,0,0,194,0.9282296650717703,0.0,0.07177033492822966,0.0
NCNN,gloves,Bending / Carrying,154,0,154,0,154,0,0,0.0,0.0,0.0,1.0
NCNN,gloves,Carrying,176,176,0,13,0,0,163,0.9261363636363636,0.0,0.07386363636363637,0.0
NCNN,gloves,Idle,297,165,132,0,132,0,165,1.0,0.0,0.0,1.0
NCNN,gloves,Material handling,385,385,0,6,0,0,379,0.9844155844155844,0.0,0.015584415584415584,0.0
NCNN,gloves,Mixed natural sequence,143,143,0,3,0,0,140,0.9790209790209791,0.0,0.02097902097902098,0.0
NCNN,gloves,Standing,495,440,55,110,55,0,330,0.75,0.0,0.25,1.0
NCNN,gloves,Standing / Walking,286,286,0,0,0,0,286,1.0,0.0,0.0,0.0
NCNN,gloves,Standing / material handling,165,165,0,0,0,0,165,1.0,0.0,0.0,0.0
NCNN,gloves,Walking,517,385,132,30,132,0,355,0.922077922077922,0.0,0.07792207792207792,1.0
NCNN,gloves,Walking / Standing / Walking,187,0,187,0,187,0,0,0.0,0.0,0.0,1.0
NCNN,gloves,Walking / standing,110,110,0,10,0,0,100,0.9090909090909091,0.0,0.09090909090909091,0.0
NCNN,boots,Bending,11,11,0,3,0,0,8,0.7272727272727273,0.0,0.2727272727272727,0.0
NCNN,boots,Bending - Short walk,209,209,0,26,0,0,183,0.8755980861244019,0.0,0.12440191387559808,0.0
NCNN,boots,Bending / Carrying,154,154,0,32,0,0,122,0.7922077922077922,0.0,0.2077922077922078,0.0
NCNN,boots,Carrying,176,176,0,33,0,0,143,0.8125,0.0,0.1875,0.0
NCNN,boots,Idle,297,165,132,144,91,41,21,0.12727272727272726,0.3106060606060606,0.8727272727272727,0.6893939393939394
NCNN,boots,Material handling,385,385,0,60,0,0,325,0.8441558441558441,0.0,0.15584415584415584,0.0
NCNN,boots,Mixed natural sequence,143,143,0,2,0,0,141,0.986013986013986,0.0,0.013986013986013986,0.0
NCNN,boots,Standing,495,495,0,58,0,0,437,0.8828282828282829,0.0,0.11717171717171718,0.0
NCNN,boots,Standing / Walking,286,286,0,62,0,0,224,0.7832167832167832,0.0,0.21678321678321677,0.0
NCNN,boots,Standing / material handling,165,165,0,149,0,0,16,0.09696969696969697,0.0,0.9030303030303031,0.0
NCNN,boots,Walking,517,385,132,33,98,34,352,0.9142857142857143,0.25757575757575757,0.08571428571428572,0.7424242424242424
NCNN,boots,Walking / Standing / Walking,187,187,0,25,0,0,162,0.8663101604278075,0.0,0.13368983957219252,0.0
NCNN,boots,Walking / standing,110,110,0,10,0,0,100,0.9090909090909091,0.0,0.09090909090909091,0.0
