backend,ppe_item,labelled_frames,tp,tn,fp,fn,accuracy,precision,recall,specificity,f1
PyTorch,helmet,3135,1316,1037,8,774,0.7505582137161084,0.9939577039274925,0.6296650717703349,0.9923444976076555,0.7709431751611013
PyTorch,vest,3135,1982,1034,55,64,0.9620414673046253,0.9729995090819833,0.9687194525904204,0.9494949494949495,0.9708547636541758
PyTorch,gloves,3135,165,660,0,2310,0.2631578947368421,1.0,0.06666666666666667,1.0,0.125
PyTorch,boots,3135,189,257,7,2682,0.1422647527910686,0.9642857142857143,0.06583072100313479,0.9734848484848485,0.12324747310074992
NCNN,helmet,3135,1807,1030,15,283,0.9049441786283892,0.9917672886937431,0.8645933014354067,0.9856459330143541,0.9238241308793456
NCNN,vest,3135,2001,1014,75,45,0.9617224880382775,0.9638728323699421,0.9780058651026393,0.931129476584022,0.9708879184861717
NCNN,gloves,3135,187,660,0,2288,0.27017543859649124,1.0,0.07555555555555556,1.0,0.14049586776859505
NCNN,boots,3135,637,189,75,2234,0.2634768740031898,0.8946629213483146,0.22187391152908395,0.7159090909090909,0.3555679598102149
