frame_index,wall_ms,preprocess_ms,inference_ms,postprocess_ms
11,21.676563999790233,1.8975829989358317,15.698498998972354,0.9392079991812352
12,19.35935000074096,1.2613569997483864,15.221738001855556,0.9538379999867175
13,18.913256000814727,1.183172000310151,15.91287100018235,0.960299999860581
14,19.22601600017515,1.2968580012966413,16.109872001834447,0.905818997125607
15,61.86171599983936,1.8538420008553658,57.63530699914554,1.2966169997525867
16,19.310645999212284,2.2422509973694105,15.036478002002696,0.975670998741407
17,20.127039002545644,1.3007470006414223,15.48883199939155,2.068361998681212
18,42.70405199713423,2.1123620026628487,38.39719900133787,1.2034869978378993
19,20.878913001070032,3.3608310004638042,15.06325599984848,1.3947660008852836
20,20.542596001178026,1.1106339989055414,15.66568500129506,0.9852090006461367
21,19.448646999080665,1.6720819985494018,15.932926999084884,0.9879670033114962
22,19.88787099980982,2.3638809980184305,15.59081400046125,1.0266339995723683
23,39.151405999291455,3.3541820012032986,34.02351099794032,0.9437640001124237
24,19.078238001384307,1.253209000424249,15.588887999911094,0.9064109981409274
25,20.135446000494994,1.278987001569476,16.386761999456212,1.6321180009981617
26,23.004810998827452,2.2018989984644577,18.516734999138862,1.3042840000707656
27,20.727727001940366,1.9248239987064153,15.422813001350733,2.27971499771229
28,21.35897099651629,2.614493998407852,16.20935399841983,1.2151159971836023
29,20.214484000462107,2.3262519971467555,15.55901800020365,1.3320990001375321
30,54.071624002972385,1.2385250010993332,50.35495899937814,1.007653001579456
31,159.02374500001315,3.0388109989871737,153.3731080016878,1.6460259976156522
32,78.88025899956119,2.0991020028304774,71.61785400239751,2.380604000791209
33,21.54797199909808,2.1951950002403464,15.376146999187768,1.4380070024344604
34,33.585971999855246,1.7850459989858791,28.70624600109295,1.4055249994271435
35,33.357563999743434,4.080018999957247,27.013440998416627,1.4196550000633579
36,34.87827500066487,1.9372130009287503,30.993645999842556,1.0572460014373064
37,178.70796699935454,2.2549549976247363,174.27452099946095,1.2919689979753457
38,45.80788200109964,1.7551740020280704,40.143262998753926,1.3334690011106431
39,20.241299000190338,2.0008799983770587,15.749147998576518,1.524470000731526
40,21.77550899796188,1.7710639986034948,15.912593000393827,1.3005429973418359
41,34.29097600019304,1.9018060011148918,30.18091999911121,1.3346730011107866
42,113.92688599880785,2.9485699997167103,107.49328200108721,1.0074489982798696
43,20.064353000634583,1.222597999003483,16.898189998755697,1.0391719988547266
44,20.16174299933482,1.2871910003013909,16.55711499915924,1.0263929980283137
45,20.933617000991944,2.0208980022289325,16.759448997618165,1.3190799982112367
46,20.079075002286118,1.3315989999682643,16.153853001014795,1.2140050021116622
47,115.41170799682732,1.2561350013129413,112.14793299950543,1.0652829987520818
48,31.63653800220345,2.5055669975699857,27.174960003321758,1.0336160012229811
49,28.04890900006285,1.4701920008519664,24.588799999037292,1.0302090013283305
50,20.291853998060105,1.2186909989395645,17.125264999776846,1.029967999784276
51,28.57556000162731,2.280270000483142,23.92902000065078,1.477525001973845
52,19.48305499900016,1.1904320017492864,15.823388999706367,1.049746002536267
53,35.34827600014978,1.3148770012776367,31.434833003004314,1.68286000189255
54,23.89889000187395,1.1225980015296955,18.487678997189505,1.7819709973991849
55,19.246997999289306,1.0620789980748668,15.63075900048716,1.0154310002690181
56,19.689222001034068,1.8708240022533573,15.575127999909455,1.1960980009462219
57,37.67634299947531,1.117006002459675,34.75381099997321,0.942800998018356
58,92.9513439987204,1.0579859990684781,88.7529719984741,1.048801001161337
59,23.73407399863936,1.8650080019142479,19.549090997315943,0.9440050016564783
60,19.63225900180987,1.4436549972742796,15.807241001311922,0.9691339982964564
61,20.658929999626707,1.1840240003948566,17.602953001187416,1.0046340030385181
62,19.23597900167806,1.1082269993494265,16.133501998410793,1.0886540003411938
63,19.204293999791844,1.1528389986779075,15.772221999213798,0.9633939989726059
64,19.188996997399954,1.6218230011872947,15.60205499845324,1.041671999701066
65,25.271304002671968,1.1077819981437642,22.365511998941656,0.9675410001364071
66,20.693892998679075,1.1092640015704092,17.42722900235094,1.3075610004307237
67,18.6290130004636,1.1810619980678894,15.51518400083296,0.9981719995266758
68,53.8778829977673,1.6093589983938728,50.127180002164096,1.2431540017132647
69,36.666635001893155,1.6882489981071558,32.37420700315852,1.709434000076726
70,51.338443998247385,1.2365239999780897,48.08137299914961,1.0734120005508885
71,20.00794600098743,1.1284680003882386,17.075357998692198,0.9351900007459335
72,43.45401799946558,1.4184140018187463,39.87694600073155,1.0723380000854377
73,49.64041800121777,2.815809999447083,44.890414999827044,1.0822639997059014
74,20.377318000100786,1.591082000231836,16.711873999156523,1.1232459983148146
75,20.967450000171084,1.577582002937561,15.062552000017604,1.0363569999753963
76,21.127654999872902,1.600267001776956,17.53708199976245,1.0658200008037966
77,19.98129699859419,1.2134500029787887,16.86789400264388,1.057763998687733
78,19.6035920016584,1.4703769993502647,15.787554999405984,1.076486998499604
79,20.184594999591354,2.2188250004546717,15.771055001096101,1.0516719994484447
80,40.095355001540156,1.7844709982455242,36.48087499823305,0.9261520026484504
81,89.22551099749398,2.933643998403568,84.34595099970466,1.0817639995366335
82,20.68135599984089,1.0694129996409174,16.09800199730671,1.0246350029774476
83,18.54062400161638,1.2119130005885381,15.448868998646503,0.9620230011933018
84,18.936495998786995,1.5500259978580289,15.239109001413453,1.0318200002075173
85,19.35159099957673,1.2626360003196169,16.31050200012396,0.9158930006378796
86,20.968191001884406,1.0445239968248643,16.53946599981282,0.9447269985685125
87,19.291571999929147,1.363099003356183,16.02481599911698,0.9563929997966625
88,112.91682500086608,1.2680990002991166,109.81405200072913,0.9133370003837626
89,20.86369099924923,1.4494139977614395,17.15063600204303,1.1437649991421495
90,19.452238997473614,1.4175989999785088,16.046187000029022,1.0453009999764618
91,19.29696099978173,1.2927099996886682,16.00459399924148,1.0313760030840058
92,20.06100200014771,1.1181349982507527,15.484071998798754,1.3888579997001216
93,20.606744001270272,1.1535240009834524,17.49150800242205,1.1092829990957398
94,28.524338002171135,1.539951001177542,24.044964000495384,2.0553799986373633
95,20.613929998944513,1.3464879993989598,17.155839999759337,1.0940049978671595
96,20.926450000843033,1.2248940001882147,17.22506300211535,1.3247290007711854
97,20.054222997714533,1.4324879994092043,16.717319002054865,1.0414860007585958
98,20.012076001876267,1.32261699764058,14.772753998840926,1.0474310001882259
99,22.487641999759944,1.22530199951143,19.173460997990333,1.05607900331961
