epoch,loss,val_macro_f1,learning_rate
1,0.7014189134201696,0.5506130316664646,0.001
2,0.5318895768254034,0.5519579947893121,0.001
3,0.49483659166482186,0.5732266968961253,0.001
4,0.4531869936373926,0.4289714396225479,0.001
5,0.4351994835080639,0.6074788348918189,0.001
6,0.42872094489153356,0.554980608791367,0.001
7,0.3762800462784306,0.5907608391358993,0.001
8,0.349700931039068,0.5575988141532243,0.001
9,0.32661666240422954,0.588158885982265,0.001
10,0.34547330210766486,0.5666120290692772,0.001
11,0.3268711410703198,0.6429946593859329,0.001
12,0.3099041582355576,0.5738025041912124,0.001
13,0.29947568476200104,0.6416469767828327,0.001
14,0.3006460171553396,0.6249141510073766,0.001
15,0.30214583032554193,0.5850354443296659,0.001
16,0.29488492600860133,0.5137571271828083,0.001
17,0.2979297488927841,0.7025732317348283,0.001
18,0.2690819844363197,0.5647132018622892,0.001
19,0.24761631904590514,0.6623313463575646,0.001
20,0.27452429624334457,0.6965961033125879,0.001
21,0.295204941063158,0.6507626181078127,0.001
22,0.24827249864897422,0.6443973996045408,0.001
23,0.2196335130401196,0.7032295884064171,0.001
24,0.24376786380044876,0.6365918665587288,0.001
25,0.25474609134178006,0.5810282393546425,0.001
26,0.21201681952563026,0.7713494003816584,0.001
27,0.2161323264721901,0.7011059344211272,0.001
28,0.19840287939915735,0.685059736663369,0.001
29,0.2036590166014409,0.7429600771889646,0.001
30,0.20606755741661595,0.663498314456963,0.001
31,0.2167174814329032,0.7379481000453412,0.001
32,0.1867215321549485,0.7208025851666201,0.001
33,0.1561493198988178,0.7330433504051346,0.0005
34,0.16516017096657906,0.6793249639698521,0.0005
35,0.16518187787263625,0.7024059363977564,0.0005
36,0.14047521523260062,0.7342395710088248,0.0005
37,0.14109499232783432,0.6833959054769165,0.0005
38,0.1264588484623199,0.6967990705521192,0.0005
39,0.1223809979255161,0.7616690423613552,0.00025
40,0.11613341150504927,0.7205857273679267,0.00025
41,0.11122045527783132,0.7373461674509957,0.00025
42,0.10469146464921293,0.7280967641071268,0.00025
43,0.10898039195566409,0.755845859248443,0.00025
44,0.10826828411870426,0.6923511548209847,0.00025
45,0.09205159426276241,0.7448206034961299,0.000125
46,0.10121532193114681,0.7415093742658764,0.000125
47,0.08572825796962265,0.7157145311200187,0.000125
48,0.08886621201470975,0.7459993929377283,0.000125
49,0.09267853954506497,0.7046749990954749,0.000125
50,0.10015159142353842,0.7386838578551592,0.000125
